id,comment,validity
comment-0001,i have been watching for a while and i am genuinely curious: where did you get the decorations behind you?,True
comment-0002,chat keeps asking what advice would you give a new streamer?,True
comment-0003,random question but what upload speed do you stream with?,True
comment-0004,did you already say what microphone are you using today?,True
comment-0005,yo what drive do you save your recordings on?,True
comment-0006,i have been watching for a while and i am genuinely curious: what bitrate are you streaming at today?,True
comment-0007,chat keeps asking are you planning any streams with other creators?,True
comment-0008,quick question for you: what helped your channel grow the most?,True
comment-0009,did you already say what mouse sensitivity do you play on?,True
comment-0010,🎉🎉,False
comment-0011,"i have been trying to figure this out for myself, so i wanted to ask: where did you get your stream alert sounds?",True
comment-0012,quick question for you: where did you get the decorations behind you?,True
comment-0013,chat keeps asking what goals are you working toward this month?,True
comment-0014,yo what chair do you use for long streams?,True
comment-0015,what graphics card is in your computer?,True
comment-0016,"i missed it earlier, why did you pick this game today?",True
comment-0017,"i missed it earlier, are you entering any tournaments for this game?",True
comment-0018,"i have been trying to figure this out for myself, so i wanted to ask: what bitrate are you streaming at today?",True
comment-0019,who made the emotes for your channel?,True
comment-0020,"i missed it earlier, what drive do you save your recordings on?",True
comment-0021,lol,False
comment-0022,i have been watching for a while and i am genuinely curious: what advice would you give a new streamer?,True
comment-0023,quick question for you: what game are you playing after this one?,True
comment-0024,hey what headphones are you wearing on stream?,True
comment-0025,"i have been trying to figure this out for myself, so i wanted to ask: what audio interface is your microphone plugged into?",True
comment-0026,"if you have time later, quick question: are you entering any tournaments for this game?",True
comment-0027,random question but when are you doing another charity stream?,True
comment-0028,quick question for you: what lights are you using for the stream?,True
comment-0029,"i have been trying to figure this out for myself, so i wanted to ask: how did you set up your streaming desk?",True
comment-0030,🔥🔥🔥🔥,False
comment-0031,🔥🔥🔥🔥,False
comment-0032,what lights are you using for the stream?,True
comment-0033,"i missed it earlier, how are you planning to beat this boss?",True
comment-0034,🤣🤣,False
comment-0035,✅✅✅,False
comment-0036,"before you move on, how do you organize all your OBS scenes?",True
comment-0037,quick question for you: how do we join your discord server?,True
comment-0038,did you already say what chat rules do your moderators usually enforce?,True
comment-0039,random question but what controller settings are you using here?,True
comment-0040,"before you move on, where did you get your stream alert sounds?",True
comment-0041,wait what goals are you working toward this month?,True
comment-0042,"if you have time later, quick question: what computer upgrade helped your stream most?",True
comment-0043,yo what lights are you using for the stream?,True
comment-0044,did you already say where do you post your stream highlights?,True
comment-0045,not sure if someone asked already but what controller settings are you using here?,True
comment-0046,"been wondering all stream, where do you find music that is safe to stream?",True
comment-0047,hey when are you doing viewer games again?,True
comment-0048,"before you move on, what lights are you using for the stream?",True
comment-0049,yo what snacks do you eat during long streams?,True
comment-0050,i have been watching for a while and i am genuinely curious: what camera are you using right now?,True
comment-0051,"if you have time later, quick question: what chat rules do your moderators usually enforce?",True
comment-0052,❤️❤️❤️,False
comment-0053,🤣🤣,False
comment-0054,"i have been trying to figure this out for myself, so i wanted to ask: why did you pick this game today?",True
comment-0055,wait where did you get your stream alert sounds?,True
comment-0056,so good,False
comment-0057,"i have been trying to figure this out for myself, so i wanted to ask: what processor are you gaming and streaming on?",True
comment-0058,what lights are you using for the stream btw?,True
comment-0059,chat keeps asking what game are you playing after this one?,True
comment-0060,wait what keyboard and switches are you using?,True
comment-0061,👀👀,False
comment-0062,chat keeps asking what are you drinking on stream today?,True
